miRNA,disease,reference
hsa-mir-217,Osteoporosis,HMDD
hsa-mir-217,Pituitary Neoplasms,HMDD
hsa-mir-217,Diabetic Nephropathies,HMDD
hsa-mir-217,Fibrosis and Renal,HMDD
hsa-mir-217,Gallbladder Neoplasms,HMDD
hsa-mir-217,Esophageal Achalasia,HMDD
hsa-mir-217,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-217,Prostatic Neoplasms,HMDD
hsa-mir-217,Head and Neck Neoplasms,HMDD
hsa-mir-217,breast cancer,HMDD
hsa-mir-217,Reperfusion Injury,HMDD
hsa-mir-217,Retinoblastoma,HMDD
hsa-mir-217,Coronary Artery Disease,HMDD
hsa-mir-217,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-28,Colorectal Neoplasms,HMDD
hsa-mir-28,Diabetes Mellitus,HMDD
hsa-mir-28,Infertility and Male,HMDD
hsa-mir-28,Fibrosis,HMDD
hsa-mir-28,Cardiovascular Diseases,HMDD
hsa-mir-28,Diabetes Mellitus and Type 2,HMDD
hsa-mir-28,Atrial Fibrillation,HMDD
hsa-mir-28,Ichthyosis and Lamellar,HMDD
hsa-mir-28,Infertility,HMDD
hsa-mir-28,Cardiomyopathy and Hypertrophic and Familial,HMDD
hsa-mir-28,Myopia,HMDD
hsa-mir-28,Dry Eye Syndromes,HMDD
hsa-mir-28,Anxiety Disorders,HMDD
hsa-mir-28,Depressive Disorder and Major,HMDD
hsa-mir-28,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-28,Leukemia and Myeloid and Acute,HMDD
hsa-mir-28,breast cancer,HMDD
hsa-mir-28,Diabetic Nephropathies,HMDD
hsa-mir-28,Pancreatic Carcinoma,HMDD
hsa-mir-28,Leishmaniasis and Diffuse Cutaneous,HMDD
hsa-mir-28,Carcinoma and Hepatocellular,HMDD
hsa-mir-28,Carcinoma and Renal Cell,HMDD
hsa-mir-28,Alzheimer Disease,HMDD
hsa-mir-28,Asthma,HMDD
hsa-mir-28,Asthma and Allergic and Seasonal,HMDD
hsa-mir-28,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-28,Stroke,HMDD
hsa-mir-28,Myocardial Infarction,HMDD
hsa-mir-28,Penile Neoplasms,HMDD
hsa-mir-28,Osteoporosis,HMDD
hsa-mir-28,Osteosarcoma,HMDD
hsa-mir-28,Autism Spectrum Disorder,HMDD
hsa-mir-28,Glioblastoma,HMDD
hsa-mir-28,Heart Failure,HMDD
hsa-mir-28,Acute Kidney Injury,HMDD
hsa-mir-28,Osteomyelitis,HMDD
hsa-mir-28,Glomerulonephritis and Membranous,HMDD
hsa-mir-28,Pre-Eclampsia,HMDD
hsa-mir-28,Sepsis,HMDD
hsa-mir-28,Prostatic Neoplasms,HMDD
hsa-mir-28,Leukemia,HMDD
hsa-mir-28,Ischemic Stroke,HMDD
hsa-mir-28,Cholangiocarcinoma,HMDD
hsa-mir-28,Clear-cell metastatic renal cell carcinoma,HMDD
hsa-mir-28,Cardiomegaly,HMDD
hsa-mir-28,Sarcopenia,HMDD
hsa-mir-28,Pulmonary Fibrosis,HMDD
hsa-mir-28,Glioma,HMDD
hsa-let-7e,Liver Neoplasms,HMDD
hsa-let-7e,Diabetes Mellitus,HMDD
hsa-let-7e,Alzheimer Disease,HMDD
hsa-let-7e,Inflammation,HMDD
hsa-let-7e,Aortic Valve Insufficiency,HMDD
hsa-let-7e,Cystadenocarcinoma and Serous,HMDD
hsa-let-7e,Aspergillosis,HMDD
hsa-let-7e,Osteoarthritis and Knee,HMDD
hsa-let-7e,Dengue,HMDD
hsa-let-7e,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-let-7e,Leiomyosarcoma and Uterine,HMDD
hsa-let-7e,Ovarian Neoplasms,HMDD
hsa-let-7e,Depressive Disorder and Major,HMDD
hsa-let-7e,Depression,HMDD
hsa-let-7e,Hemoglobinuria and Paroxysmal,HMDD
hsa-let-7e,Colorectal Neoplasms,HMDD
hsa-let-7e,Tic Disorders,HMDD
hsa-let-7e,Diabetes Mellitus and Type 2,HMDD
hsa-let-7e,Prediabetic State,HMDD
hsa-let-7e,lung cancer,HMDD
hsa-let-7e,Tuberculosis and Multidrug-Resistant,HMDD
hsa-let-7e,Intervertebral Disc Degeneration,HMDD
hsa-let-7e,Pulmonary Arterial Hypertension,HMDD
hsa-let-7e,Obesity,HMDD
hsa-let-7e,Anemia and Neonatal,HMDD
hsa-let-7e,Retinal Diseases,HMDD
hsa-let-7e,Cardiomegaly,HMDD
hsa-let-7e,breast cancer,HMDD
hsa-let-7e,Erectile Dysfunction and Diabetic,HMDD
hsa-let-7e,Tuberculosis,HMDD
hsa-let-7e,Stomach Neoplasms,HMDD
hsa-let-7e,Essential Hypertension,HMDD
hsa-let-7e,Thyroid Neoplasms,HMDD
hsa-let-7e,Muscular Atrophy,HMDD
hsa-mir-193b,Nasopharyngeal Carcinoma,HMDD
hsa-mir-193b,Diabetes Mellitus,HMDD
hsa-mir-193b,Colonic Neoplasms,HMDD
hsa-mir-193b,Carcinoma in Situ,HMDD
hsa-mir-193b,Colorectal Neoplasms and Hereditary Nonpolyposis,HMDD
hsa-mir-193b,Obesity,HMDD
hsa-mir-193b,Insulin Resistance,HMDD
hsa-mir-193b,Fetal Growth Retardation,HMDD
hsa-mir-193b,Mastitis,HMDD
hsa-mir-193b,Angelman Syndrome,HMDD
hsa-mir-193b,Coronary Artery Disease,HMDD
hsa-mir-193b,Cumulative Trauma Disorders,HMDD
hsa-mir-193b,Diabetes and Gestational,HMDD
hsa-mir-193b,Netherton Syndrome,HMDD
hsa-mir-193b,Elliptocytosis 2,HMDD
hsa-mir-193b,Trachoma,HMDD
hsa-mir-193b,Hyperglycemia,HMDD
hsa-mir-193b,Pancreatic Carcinoma,HMDD
hsa-mir-193b,Seminoma,HMDD
hsa-mir-193b,Diabetes Mellitus and Type 2,HMDD
hsa-mir-193b,lung cancer,HMDD
hsa-mir-193b,Colorectal Neoplasms,HMDD
hsa-mir-193b,Thyroid Cancer and Papillary,HMDD
hsa-mir-193b,Thyroid Neoplasms,HMDD
hsa-mir-193b,Carcinoma and Hepatocellular,HMDD
hsa-mir-193b,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-193b,Fatty Liver,HMDD
hsa-mir-193b,Liver Cirrhosis,HMDD
hsa-mir-193b,Polymyositis,HMDD
hsa-mir-193b,Dermatomyositis,HMDD
hsa-mir-193b,Stomach Neoplasms,HMDD
hsa-mir-193b,Subarachnoid Hemorrhage,HMDD
hsa-mir-193b,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-193b,Tongue Neoplasms,HMDD
hsa-mir-193b,Osteosarcoma,HMDD
hsa-mir-193b,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-193b,Pre-Eclampsia,HMDD
hsa-mir-193b,COVID-19,HMDD
hsa-mir-193b,Acute Lung Injury,HMDD
hsa-mir-193b,Sepsis,HMDD
hsa-mir-193b,Alzheimer Disease,HMDD
hsa-mir-193b,Intracranial Aneurysm,HMDD
hsa-mir-193b,Prostatic Neoplasms,HMDD
hsa-mir-193b,Hepatoblastoma,HMDD
hsa-mir-193b,Hepatitis C,HMDD
hsa-mir-193b,Glioma,HMDD
hsa-mir-193b,Myocardial Reperfusion Injury,HMDD
hsa-mir-193b,Encephalitis and Japanese,HMDD
hsa-mir-193b,Osteoarthritis,HMDD
hsa-mir-193b,Barrett Esophagus,HMDD
hsa-mir-193b,Tuberculosis,HMDD
hsa-mir-193b,breast cancer,HMDD
hsa-mir-18,lung cancer,HMDD
hsa-mir-18,Diabetes Mellitus,HMDD
hsa-mir-18,Pre-Eclampsia,HMDD
hsa-mir-18,Myocardial Infarction,HMDD
hsa-mir-18,Human Herpesvirus 6 encephalitis,HMDD
hsa-mir-18,Retinal Diseases,HMDD
hsa-mir-18,Stomach Neoplasms,HMDD
hsa-mir-18,Ovarian Neoplasms,HMDD
hsa-mir-18,Hernias and Diaphragmatic and Congenital,HMDD
hsa-mir-18,Multiple Sclerosis and Relapsing-Remitting,HMDD
hsa-mir-383,COVID-19,HMDD
hsa-mir-383,Alzheimer Disease,HMDD
hsa-mir-383,Osteoarthritis,HMDD
hsa-mir-383,Polycystic Ovary Syndrome,HMDD
hsa-mir-383,Osteochondrodysplasias,HMDD
hsa-mir-383,Oligospermia,HMDD
hsa-mir-383,Asthenozoospermia,HMDD
hsa-mir-383,Carcinoma and Hepatocellular,HMDD
hsa-mir-383,Venous Thrombosis,HMDD
hsa-mir-383,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-383,Ovarian Neoplasms,HMDD
hsa-mir-383,Melanoma,HMDD
hsa-mir-383,Liver Neoplasms,HMDD
hsa-mir-383,Prostatic Neoplasms,HMDD
hsa-mir-383,breast cancer,HMDD
hsa-mir-383,Uterine Cervical Neoplasms,HMDD
hsa-mir-383,Stomach Neoplasms,HMDD
hsa-mir-383,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-383,Spinal Cord Injuries,HMDD
hsa-mir-383,Glioma,HMDD
hsa-mir-383,Colorectal Neoplasms,HMDD
hsa-mir-383,Glomerulonephritis and IGA,HMDD
hsa-mir-383,Intracranial Aneurysm,HMDD
hsa-mir-383,Pre-Eclampsia,HMDD
hsa-mir-383,Diabetic Retinopathy,HMDD
hsa-mir-383,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-383,lung cancer,HMDD
hsa-mir-383,Syphilis,HMDD
hsa-mir-383,Diabetes Mellitus,HMDD
hsa-mir-383,Hyperglycemia,HMDD
hsa-mir-383,Fetal Growth Retardation,HMDD
hsa-mir-383,Pituitary ACTH Hypersecretion,HMDD
hsa-mir-383,Cerebral Hemorrhage,HMDD
hsa-mir-124a,Nerve Degeneration,HMDD
hsa-mir-124a,Intestinal Diseases,HMDD
hsa-mir-124a,Atrophy,HMDD
hsa-mir-124a,Stomach Diseases,HMDD
hsa-mir-124a,Stomach Neoplasms,HMDD
hsa-mir-124a,Neoplasms and Second Primary,HMDD
hsa-mir-124a,Gastric Cancer and Metachronous,HMDD
hsa-mir-124a,Uveal melanoma,HMDD
hsa-mir-124a,Aortic Aneurysm and Abdominal,HMDD
hsa-mir-124a,lung cancer,HMDD
hsa-mir-124a,Low Back Pain,HMDD
hsa-mir-124a,Heart Diseases,HMDD
hsa-mir-124a,Brain Injuries,HMDD
hsa-mir-124a,Cognitive Dysfunction,HMDD
hsa-mir-124a,Arthritis,HMDD
hsa-mir-124a,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-124a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-124a,Crohn Disease,HMDD
hsa-mir-124a,Ovarian Neoplasms,HMDD
hsa-mir-124a,Acute-On-Chronic Liver Failure,HMDD
hsa-mir-124a,Enterovirus Infections,HMDD
hsa-mir-124a,Melanoma,HMDD
hsa-mir-124a,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-124a,Depression,HMDD
hsa-mir-7a,lung cancer,HMDD
hsa-mir-7a,Brain Diseases,HMDD
hsa-mir-7a,Bone Diseases,HMDD
hsa-mir-7a,Myocardial Ischemia,HMDD
hsa-mir-7a,Ischemia,HMDD
hsa-mir-7a,Stroke,HMDD
hsa-mir-7a,Myocardial Reperfusion Injury,HMDD
hsa-mir-7a,Cardiovascular Diseases,HMDD
hsa-mir-7a,Periodontitis,HMDD
hsa-mir-7a,Multiple Sclerosis,HMDD
hsa-mir-7a,Cognition Disorders,HMDD
hsa-mir-7a,Neuralgia,HMDD
hsa-mir-7a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-7a,Diabetic Neuropathies,HMDD
hsa-mir-7a,Parkinson Disease,HMDD
hsa-mir-7a,Acute Lung Injury,HMDD
hsa-mir-7a,Heart Diseases,HMDD
hsa-mir-203,Brain Ischemia,HMDD
hsa-mir-203,Colonic Neoplasms,HMDD
hsa-mir-203,Inflammation,HMDD
hsa-mir-203,Lupus Erythematosus and Systemic,HMDD
hsa-mir-203,Hypertension,HMDD
hsa-mir-203,Intervertebral Disc Degeneration,HMDD
hsa-mir-203,Papillomavirus Infections,HMDD
hsa-mir-203,Neurodegenerative Diseases,HMDD
hsa-mir-203,Myocarditis,HMDD
hsa-mir-203,Acidosis,HMDD
hsa-mir-203,Lesch-Nyhan Syndrome,HMDD
hsa-mir-203,Dermatitis and Atopic and 1,HMDD
hsa-mir-203,Periodontal Diseases,HMDD
hsa-mir-203,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-203,ST Elevation Myocardial Infarction,HMDD
hsa-mir-203,Urinary Bladder Neoplasms,HMDD
hsa-mir-203,Osteosarcoma,HMDD
hsa-mir-203,Diabetic Foot,HMDD
hsa-mir-203,Hemangioma,HMDD
hsa-mir-203,Carcinoma and Hepatocellular,HMDD
hsa-mir-203,Leukemia and Myeloid and Acute,HMDD
hsa-mir-203,Coronary Disease,HMDD
hsa-mir-203,lung cancer,HMDD
hsa-mir-203,Diabetic Nephropathies,HMDD
hsa-mir-203,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-203,Dermatitis and Atopic,HMDD
hsa-mir-203,Diabetes Mellitus and Type 2,HMDD
hsa-mir-203,Chronic Periodontitis,HMDD
hsa-mir-203,Keloid,HMDD
hsa-mir-203,Coronary Artery Disease,HMDD
hsa-mir-203,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-203,Myocardial Reperfusion Injury,HMDD
hsa-mir-203,Pemphigus and Benign Familial,HMDD
hsa-mir-203,Pancreatic Carcinoma,HMDD
hsa-mir-203,Thyroid Cancer and Papillary,HMDD
hsa-mir-203,Carcinoma and Renal Cell,HMDD
hsa-mir-203,Esophageal Neoplasms,HMDD
hsa-mir-203,Liver Cirrhosis,HMDD
hsa-mir-203,Alcoholism,HMDD
hsa-mir-203,Ovarian Neoplasms,HMDD
hsa-mir-203,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-203,breast cancer,HMDD
hsa-mir-203,Colorectal Neoplasms,HMDD
hsa-mir-203,Muscular Diseases,HMDD
hsa-mir-203,Melanoma,HMDD
hsa-mir-203,Multiple Myeloma,HMDD
hsa-mir-203,Stomach Neoplasms,HMDD
hsa-mir-203,Laryngeal Neoplasms,HMDD
hsa-mir-203,Burns,HMDD
hsa-mir-203,Uterine Cervical Neoplasms,HMDD
hsa-mir-203,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-203,Gastrointestinal Diseases,HMDD
hsa-mir-203,Myocardial Infarction,HMDD
hsa-mir-203,Nasopharyngeal Carcinoma,HMDD
hsa-mir-203,Lung Injury,HMDD
hsa-mir-203,Shock and Septic,HMDD
hsa-mir-203,Zika Virus Infection,HMDD
hsa-mir-203,Skin Neoplasms,HMDD
hsa-mir-450a,Esophageal Neoplasms,HMDD
hsa-mir-450a,Obesity,HMDD
hsa-mir-450a,Ovarian Neoplasms,HMDD
hsa-mir-450a,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-450a,Leukemia and Biphenotypic and Acute,HMDD
hsa-mir-450a,Diabetes and Gestational,HMDD
hsa-mir-450a,Colorectal Neoplasms,HMDD
hsa-mir-450a,Cachexia,HMDD
hsa-mir-450a,Adenoviridae Infections,HMDD
hsa-mir-450a,Pneumonia,HMDD
hsa-mir-27,Tuberculosis,HMDD
hsa-mir-27,Carcinoma and Hepatocellular,HMDD
hsa-mir-27,Metabolic Diseases,HMDD
hsa-mir-27,Liver Diseases,HMDD
hsa-mir-27,Myocardial Ischemia,HMDD
hsa-mir-27,Myocarditis,HMDD
hsa-mir-27,Hyperlipoproteinemia Type II,HMDD
hsa-mir-27,Mouth Neoplasms,HMDD
hsa-mir-27,Scleroderma and Systemic,HMDD
hsa-mir-27,Obesity,HMDD
hsa-mir-27,Diabetes Mellitus and Type 2,HMDD
hsa-mir-27,Ovarian Hyperstimulation Syndrome,HMDD
hsa-mir-27,Hypertension,HMDD
hsa-mir-27,lung cancer,HMDD
hsa-mir-27,Multiple Myeloma,HMDD
hsa-mir-27,Gastroenteritis and Transmissible and of Swine,HMDD
hsa-mir-27,Heart Failure,HMDD
hsa-mir-27,Carotid Stenosis,HMDD
hsa-mir-27,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-345,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-345,Colonic Neoplasms,HMDD
hsa-mir-345,lung cancer,HMDD
hsa-mir-345,Lip Neoplasms,HMDD
hsa-mir-345,Actinic cheilitis,HMDD
hsa-mir-345,Carcinoma in Situ,HMDD
hsa-mir-345,Carcinoma and Squamous Cell,HMDD
hsa-mir-345,Lip and Hamartomatous,HMDD
hsa-mir-345,Aneuploidy,HMDD
hsa-mir-345,Liver Cirrhosis,HMDD
hsa-mir-345,Carcinoma and Hepatocellular,HMDD
hsa-mir-345,Amyotrophic Lateral Sclerosis,HMDD
hsa-mir-345,Osteoporosis,HMDD
hsa-mir-345,Pancreatic Carcinoma,HMDD
hsa-mir-345,Leukemia and Myeloid and Acute,HMDD
hsa-mir-345,Thyroid Cancer and Papillary,HMDD
hsa-mir-345,Pre-Eclampsia,HMDD
hsa-mir-345,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-345,breast cancer,HMDD
hsa-mir-345,Osteomyelitis,HMDD
hsa-mir-345,Diabetes and Gestational,HMDD
hsa-mir-345,Glioblastoma,HMDD
hsa-mir-345,Glioma,HMDD
hsa-mir-200a,Liver Neoplasms,HMDD
hsa-mir-200a,Colonic Neoplasms,HMDD
hsa-mir-200a,Hypoxia,HMDD
hsa-mir-200a,Fibrosis,HMDD
hsa-mir-200a,Precancerous Conditions,HMDD
hsa-mir-200a,Ischemic Stroke,HMDD
hsa-mir-200a,Uterine Cervical Neoplasms,HMDD
hsa-mir-200a,Chemical and Drug Induced Liver Injury,HMDD
hsa-mir-200a,Autoimmune Diseases,HMDD
hsa-mir-200a,Insulin Resistance,HMDD
hsa-mir-200a,Thyroid Neoplasms,HMDD
hsa-mir-200a,Infertility,HMDD
hsa-mir-200a,Neurotic Disorders,HMDD
hsa-mir-200a,Cystadenocarcinoma and Serous,HMDD
hsa-mir-200a,Arrest of spermatogenesis,HMDD
hsa-mir-200a,Adenocarcinoma in Situ,HMDD
hsa-mir-200a,Celiac Disease,HMDD
hsa-mir-200a,Wilms Tumor,HMDD
hsa-mir-200a,Sarcoidosis,HMDD
hsa-mir-200a,Conjunctival Diseases,HMDD
hsa-mir-200a,Cardiomyopathy dilated with woolly hair and keratoderma,HMDD
hsa-mir-200a,Weight Loss,HMDD
hsa-mir-200a,Endometrial Neoplasms,HMDD
hsa-mir-200a,Papillomavirus Infections,HMDD
hsa-mir-200a,Erectile Dysfunction,HMDD
hsa-mir-200a,Prostatic Neoplasms,HMDD
hsa-mir-200a,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-200a,Colorectal Neoplasms,HMDD
hsa-mir-200a,Carcinoma and Hepatocellular,HMDD
hsa-mir-200a,Hepatitis B,HMDD
hsa-mir-200a,breast cancer,HMDD
hsa-mir-200a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-200a,Osteosarcoma,HMDD
hsa-mir-200a,Ovarian Neoplasms,HMDD
hsa-mir-200a,Diabetic Nephropathies,HMDD
hsa-mir-200a,Glomerulonephritis and IGA,HMDD
hsa-mir-200a,Plaque and Atherosclerotic,HMDD
hsa-mir-200a,Inflammation,HMDD
hsa-mir-200a,Gingival Overgrowth,HMDD
hsa-mir-200a,Spinal Cord Injuries,HMDD
hsa-mir-200a,Stomach Neoplasms,HMDD
hsa-mir-200a,Respiratory Distress Syndrome and Newborn,HMDD
hsa-mir-200a,Urinary Bladder Neoplasms,HMDD
hsa-mir-200a,Pancreatic Diseases,HMDD
hsa-mir-200a,Melanoma,HMDD
hsa-mir-200a,Peritoneal Fibrosis,HMDD
hsa-mir-200a,Pre-Eclampsia,HMDD
hsa-mir-200a,Depressive Disorder and Major,HMDD
hsa-mir-200a,Salivary Gland Neoplasms,HMDD
hsa-mir-200a,Glioma,HMDD
hsa-mir-200a,Pituitary Neoplasms,HMDD
hsa-mir-200a,Endometritis,HMDD
hsa-mir-200a,Reperfusion Injury,HMDD
hsa-mir-200a,Cardiomyopathies,HMDD
hsa-mir-200a,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-200a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-200a,Cerebral Palsy,HMDD
hsa-mir-200a,Diabetes Mellitus,HMDD
hsa-mir-200a,Asthma,HMDD
hsa-mir-200a,Hypogonadism,HMDD
hsa-mir-200a,Alzheimer Disease,HMDD
hsa-mir-200a,Post-Concussion Syndrome,HMDD
hsa-mir-200a,Hypertension,HMDD
hsa-mir-200a,Coronary Artery Disease,HMDD
hsa-mir-200a,Dengue,HMDD
hsa-mir-200a,Hirschsprung Disease,HMDD
hsa-mir-200a,Diabetic Retinopathy,HMDD
hsa-mir-200a,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-200a,Thyroid Carcinoma and Anaplastic,HMDD
hsa-mir-200a,Sepsis,HMDD
hsa-mir-200a,Enterocolitis and Necrotizing,HMDD
hsa-mir-200a,Osteoporosis,HMDD
hsa-mir-200a,Multiple Sclerosis,HMDD
hsa-mir-200a,Carcinoma and Renal Cell,HMDD
hsa-mir-200a,Anorectal Malformations,HMDD
hsa-mir-200a,Heart Arrest,HMDD
hsa-mir-200a,Liver Injury,HMDD
hsa-mir-200a,Myocardial Infarction,HMDD
hsa-mir-200a,Brain Ischemia,HMDD
hsa-mir-200a,Bronchopulmonary Dysplasia,HMDD
hsa-mir-200a,Depression,HMDD
hsa-mir-200a,Chronic Pain,HMDD
hsa-mir-200a,Hyperglycemia,HMDD
hsa-mir-200a,Proteinuria,HMDD
hsa-mir-200a,Renal Insufficiency and Chronic,HMDD
hsa-mir-200a,Neuromyelitis Optica,HMDD
hsa-mir-200a,Hepatitis B and Chronic,HMDD
hsa-mir-107,breast cancer,HMDD
hsa-mir-107,Colonic Neoplasms,HMDD
hsa-mir-107,lung cancer,HMDD
hsa-mir-107,Alzheimer Disease,HMDD
hsa-mir-107,Nervous System Diseases,HMDD
hsa-mir-107,Osteoarthritis,HMDD
hsa-mir-107,Hypoxia,HMDD
hsa-mir-107,Colorectal Neoplasms,HMDD
hsa-mir-107,Ischemic Stroke,HMDD
hsa-mir-107,Atrial Fibrillation,HMDD
hsa-mir-107,Pulmonary Fibrosis,HMDD
hsa-mir-107,Osteonecrosis,HMDD
hsa-mir-107,Obesity,HMDD
hsa-mir-107,Fibrous Dysplasia and Polyostotic,HMDD
hsa-mir-107,Femur Head Necrosis,HMDD
hsa-mir-107,Acute Coronary Syndrome,HMDD
hsa-mir-107,Infarction and Middle Cerebral Artery,HMDD
hsa-mir-107,Ethylmalonic encephalopathy,HMDD
hsa-mir-107,Adenocarcinoma and Sebaceous and Ocular,HMDD
hsa-mir-107,Diabetes Mellitus and Type 2,HMDD
hsa-mir-107,Ovarian Neoplasms,HMDD
hsa-mir-107,Schizophrenia,HMDD
hsa-mir-107,Stomach Neoplasms,HMDD
hsa-mir-107,Wilms Tumor,HMDD
hsa-mir-107,Glioma,HMDD
hsa-mir-107,Familial Mediterranean Fever,HMDD
hsa-mir-107,Thrombocytopenia,HMDD
hsa-mir-107,Cognition Disorders,HMDD
hsa-mir-107,Enterovirus Infections,HMDD
hsa-mir-107,Urinary Bladder Neoplasms,HMDD
hsa-mir-107,Carcinoma and Hepatocellular,HMDD
hsa-mir-107,Osteoporosis and Postmenopausal,HMDD
hsa-mir-107,Osteoarthritis and Knee,HMDD
hsa-mir-107,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-107,Sleep Apnea and Obstructive,HMDD
hsa-mir-107,Hypertension and Renal,HMDD
hsa-mir-107,Fibromyalgia,HMDD
hsa-mir-107,Prostatic Neoplasms,HMDD
hsa-mir-107,Acromegaly,HMDD
hsa-mir-107,Enterovirus B and Human,HMDD
hsa-mir-107,Sepsis,HMDD
hsa-mir-107,Respiratory Distress Syndrome,HMDD
hsa-mir-107,Penile Neoplasms,HMDD
hsa-mir-107,Lupus Nephritis,HMDD
hsa-mir-107,Multiple Myeloma,HMDD
hsa-mir-107,Uterine Cervical Neoplasms,HMDD
hsa-mir-107,Bipolar Disorder,HMDD
hsa-mir-107,Metabolic Diseases,HMDD
hsa-mir-107,Attention Deficit Disorder with Hyperactivity,HMDD
hsa-mir-107,Atherosclerosis,HMDD
hsa-mir-107,Pancreatic Carcinoma,HMDD
hsa-mir-107,Depression,HMDD
hsa-mir-107,Cardiomyopathies,HMDD
hsa-mir-107,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-107,Erdheim-Chester Disease,HMDD
hsa-mir-107,Fibrosis and Renal,HMDD
hsa-mir-107,Acute Kidney Injury,HMDD
hsa-mir-107,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-107,Neuroblastoma,HMDD
hsa-mir-107,Fetal Growth Retardation,HMDD
hsa-mir-107,Ovarian Neoplasms and High-Grade Serous,HMDD
hsa-mir-107,Parkinson Disease,HMDD
hsa-mir-107,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-210,Alzheimer Disease,HMDD
hsa-mir-210,Colonic Neoplasms,HMDD
hsa-mir-210,lung cancer,HMDD
hsa-mir-210,Inflammation,HMDD
hsa-mir-210,Hypoxia,HMDD
hsa-mir-210,breast cancer,HMDD
hsa-mir-210,Fibrosis,HMDD
hsa-mir-210,Colorectal Neoplasms,HMDD
hsa-mir-210,Lupus Erythematosus and Systemic,HMDD
hsa-mir-210,Ischemic Stroke,HMDD
hsa-mir-210,Chemical and Drug Induced Liver Injury,HMDD
hsa-mir-210,Pre-Eclampsia,HMDD
hsa-mir-210,Corneal Injuries,HMDD
hsa-mir-210,Ichthyosis and Lamellar,HMDD
hsa-mir-210,Bone Diseases,HMDD
hsa-mir-210,Osteochondritis Dissecans,HMDD
hsa-mir-210,Coproporphyria and Hereditary,HMDD
hsa-mir-210,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-210,Stroke,HMDD
hsa-mir-210,Pneumonia and Mycoplasma,HMDD
hsa-mir-210,Hepatitis B and Chronic,HMDD
hsa-mir-210,Epilepsy,HMDD
hsa-mir-210,Heart Injuries,HMDD
hsa-mir-210,Periodontitis,HMDD
hsa-mir-210,Retinal Degeneration,HMDD
hsa-mir-210,Hypersensitivity,HMDD
hsa-mir-210,Hyperparathyroidism and Neonatal Severe Primary,HMDD
hsa-mir-210,Skin Ulcer,HMDD
hsa-mir-210,Polycythemia,HMDD
hsa-mir-210,Glaucoma,HMDD
hsa-mir-210,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-210,Uterine Cervical Neoplasms,HMDD
hsa-mir-210,Carcinoma and Endometrioid,HMDD
hsa-mir-210,Tuberculosis and Pulmonary,HMDD
hsa-mir-210,Heart Failure,HMDD
hsa-mir-210,Carcinoma and Hepatocellular,HMDD
hsa-mir-210,Premature Birth,HMDD
hsa-mir-210,Urinary Bladder Neoplasms,HMDD
hsa-mir-210,Osteoarthritis,HMDD
hsa-mir-210,Acute Lung Injury,HMDD
hsa-mir-210,Sepsis,HMDD
hsa-mir-210,Laryngeal Neoplasms,HMDD
hsa-mir-210,Osteoporosis,HMDD
hsa-mir-210,Cardiomyopathy and Dilated,HMDD
hsa-mir-210,Heart Defects and Congenital,HMDD
hsa-mir-210,Heart Valve Diseases,HMDD
hsa-mir-210,Obesity,HMDD
hsa-mir-210,Hypertension,HMDD
hsa-mir-210,Prehypertension,HMDD
hsa-mir-210,Cardiovascular Diseases,HMDD
hsa-mir-210,Varicocele,HMDD
